lista_num,lista_nome,candidato_sindaco_num,candidato_sindaco_nome,candidato_num,candidato_nome,cifra_individuale,preferenze
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,6,CATANZARO MARIANNA,581,25
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,16,MITOLI FRANCESCO,576,20
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,17,MORRELLI ANGELICA,574,18
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,18,PAPARELLA ALESSANDRA,574,18
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,10,de NICHILO TERESA,567,11
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,15,MARI OMBRETTA,567,11
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,11,de NICOLO ANNAMARIA,565,9
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,4,BELGIOVINE MARIA FRANCESCA,563,7
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,14,LAFORGIA SILVIO,559,3
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,20,TATTOLI ELISABETTA,559,3
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,7,CHIARELLA SERGIO,558,2
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,9,de GENNARO MARILENA (detta MARILENA),557,1
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,13,KURTAJ GIOVANNI,557,1
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,21,VITARIELLO ROSA,557,1
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,22,VITULANO FRANCESCO PAOLO,557,1
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,2,ANDRIANI MARTA,556,0
12,FRATELLI D'ITALIA,2,MASTROPASQUA PIETRO PAOLO,1,LOGRIECO ADAMO (detto ADAMO),1193,368
12,FRATELLI D'ITALIA,2,MASTROPASQUA PIETRO PAOLO,2,TATULLI ELIANA (detta ELI),1013,188
12,FRATELLI D'ITALIA,2,MASTROPASQUA PIETRO PAOLO,5,BASILE GIUSEPPE,866,41
